run,question_id,human_correctness,human_faithful,human_claim_supports,n_claims,note
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,6656a9472499331f4eda45182ea697a4d63e943c,incorrect,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,3098793595252039f363ee1150d4ea956f2504b8,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,d68cc9aaf0466b97354600a5646c3be4512fc096,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,ab37ae82e38f64d3fa95782f2c791488f26cd43f,incorrect,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,b6f4fd6bc76bfcbc15724a546445908afa6d922c,partial,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,3138f916e253abed643d3399aa8a4555b2bd8c0f,partial,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",6,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,d97843afec733410d2c580b4ec98ebca5abf2631,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,5752c8d333afc1e6c666b18d1477c8f669b7a602,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,99e99f2c25706085cd4de4d55afe0ac43213d7c8,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,70abb108c3170e81f8725ddc1a3f2357be5a4959,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,b210c3e48c15cdc8c47cf6f4b6eb1c29a1933654,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,86656aae3c27c6ea108f5600dd09ab7e421d876a,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4eb42c5d56d695030dd47ea7f6d65164924c4017,correct,False,"[""supported"", ""supported"", ""unsupported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,34b434825f0ca3225dc8914f9da865d2b4674f08,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,f3b851c9063192c86a3cc33b2328c02efa41b668,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,8126c6b8a0cab3e22661d3d71d96aa57360da65c,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,ed44f7e698d6124cb86791841d02fc6f8b4d862a,incorrect,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,c19e9fd2f1c969e023fb99b74e78eb1f3db8e162,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,d0048ef1cba3f63b5d60c568d5d0ba62ac4d7e75,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,c2497552cf26671f6634b02814e63bb94ec7b273,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,e752dc4d721a2cf081108b6bd71e3d10b4644354,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4ddc53afffaf1622d97695347dd1b3190d156dee,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,0ac6fbd81e2dd95b800283dc7e59ce969d45fc02,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,230f127e83ac62dd65fccf6b1a4960cf0f7316c7,partial,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,faffcc6ef27c1441e6528f924e320368430d8da3,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,99e514acc0109b7efa4e3860ce1e8c455f5bb790,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,30870a962cf88ac8c8e6b7b795936fd62214f507,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,b6c2a391c4a94eaa768150f151040bb67872c0bf,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,8e5ce0d2635e7bdec4ba1b8d695cd06790c8cdaa,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",7,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,da2350395867b5fd4dbf968b5a1cd6921ab6dd37,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",6,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,f741d32b92630328df30f674af16fbbefcad3f93,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,1002bd01372eba0f3078fb4a951505278ed45f2e,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,bfd55ae9630a08a9e287074fff3691dfbffc3258,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,e86fb784011de5fda6ff8ccbe4ee4deadd7ee7d6,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,b3432f52af0b95929e6723dd1f01ce029d90a268,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,bab4e8881f4d75e266bce6fbfa4c3bcd3eacf30f,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4f57ac24f3f4689a2f885715cd84b7d867fe3f12,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,00c443f8d32d6baf7c7cea8f4ca9fa749532ccfd,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,31e6062ba45d8956791e1b86bad7efcb6d1b191a,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4a32adb0d54da90434d5bd1c66cc03a7956d12a0,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,d206f2cbcc3d2a6bd0ccaa3b57fece396159f609,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,06d5de706348dbe8c29bfacb68ce65a2c55d0391,incorrect,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,7d34cdd9cb1c988e218ce0fd59ba6a3b5de2024a,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,9c529bd3f7565b2178a79aae01c98c90f9d372ad,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4b6745982aa64fbafe09f7c88c8d54d520b3f687,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,9f1d81b2a6fe6835042a5229690e1951b97ff671,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,3e88fcc94d0f451e87b65658751834f6103b2030,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,6b302280522c350c4d1527d8c6ebc5b470f9314c,partial,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,bd3562d2b3c162e9d27404d56b77e15f707d8b0f,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,e462efb58c71f186cd6b315a2d861cbb7171f65b,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,7066f33c373115b1ead905fe70a1e966f77ebeee,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,89373db8ced1fe420eae0093b2736f06b565616e,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,f637bba86cfb94ca8ac4b058faf839c257d5eaa0,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,e459760879f662b2205cbdc0f5396dbfe41323ae,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4ed58d828cd6bb9beca1471a9fa9f5e77488b1d1,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,ea6edf45f094586caf4684463287254d44b00e95,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,bd53399be8ff59060792da4c8e42a7fc1e6cbd85,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,3a01dc85ac983002fd631f1c28fc1cbe16094c24,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,6e3e9818551fc2f8450bbf09b0fe82ac2506bc7a,correct,False,"[""unsupported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,9e9aa8af4b49e2e1e8cd9995293a7982ea1aba0e,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,803babb71e1bdaf507847d6c712585f4128e9f47,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,59f41306383dd6e201bded0f1c7c959ec4f61c5a,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,7380e62edcb11f728f6d617ee332dc8b5752b185,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,a554cd1ba2a8d1348a898e0cb4b4c16cc8998257,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,c4c06f36454fbfdc5d218fb84ce74eaf7f78fc98,incorrect,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,11f9c207476af75a9272105e646df02594059c3f,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,1d047286ac63e5dca1ab811172b89d7d125679e5,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,0bc305d6b90f77f835bc4c904b22a4be07f963b2,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,425d17465ff91019eb87c28ff3942f781ba1bbcb,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,f5603271a04452cbdbb07697859bef2a2030d75c,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,c4a3f270e942803dab9b40e5e871a2e8886ce444,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,c53b036eff430a9d0449fb50b8d2dc9d2679d9fe,incorrect,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,de0d135b94ba3b3a4f4a0fb03df38a84f9dc9da4,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,fe1a74449847755cd7a46647cc9d384abfee789e,partial,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,5206b6f40a91fc16179829041c1139a6c6d91ce7,partial,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,2973fe3f5b4bf70ada02ac4a9087dd156cc3016e,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4e568134c896c4616bc7ab4924686d8d59b57ea1,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,6167618e0c53964f3a706758bdf5e807bc5d7760,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,726c5c1b6951287f4bae22978f9a91d22d9bef61,partial,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,15aeda407ae3912419fd89211cdb98989d9cde58,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,7e906dc00e92088a25df3719104d1750e5a27485,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,1f8044487af39244d723582b8a68f94750eed2cc,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,a11b5eb928a6db9a0e3bb290ace468ff1685d253,partial,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,8330242b56b63708a23c6a92db4d4bcf927a4576,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,754d7475b8bf50499ed77328b4b0eeedf9cb2623,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
